"Scrip Name","Scrip","ISIN","Scrip Opt","Buy Date","Buy Qty","Buy Rate","Buy Amt","Sell Date","Sell Qty","Sell Rate","Sell Amt","Days","Gross PL","Turn Over"
"BANKNIFTY","BANKNIFTY27AUG23600CE","","CE","27-08-2020","25","10.90","272.50","25-08-2020","25","45.50","1,137.50","2","865.00","2,002.50"
"BANKNIFTY","BANKNIFTY27AUG23800CE","","CE","25-08-2020","25","22.35","558.75","27-08-2020","25","0.35","8.75","2","-550.00","558.75"
"BANKNIFTY","BANKNIFTY03SEP24000CE","","CE","03-09-2020","25","0.15","3.75","03-09-2020","25","15.00","375.00","0","371.25","746.25"
"BANKNIFTY","BANKNIFTY03SEP24600CE","","CE","03-09-2020","25","0.10","2.50","02-09-2020","25","30.60","765.00","1","762.50","1,527.50"
"BANKNIFTY","BANKNIFTY03SEP24800CE","","CE","02-09-2020","25","21.65","541.25","03-09-2020","25","0.10","2.50","1","-538.75","541.25"
"BANKNIFTY","BANKNIFTY10SEP22400CE","","CE","10-09-2020","25","30.70","767.50","10-09-2020","25","9.40","235.00","0","-532.50","767.50"
"BANKNIFTY","BANKNIFTY10SEP22500CE","","CE","09-09-2020","25","67.60","1,690.00","09-09-2020","25","76.50","1,912.50","0","222.50","2,135.00"
"BANKNIFTY","BANKNIFTY10SEP22500CE","","CE","10-09-2020","25","11.75","293.75","10-09-2020","25","23.90","597.50","0","303.75","901.25"
"BANKNIFTY","BANKNIFTY10SEP22500CE","","CE","10-09-2020","25","11.75","293.75","10-09-2020","25","25.35","633.75","0","340.00","973.75"
"BANKNIFTY","BANKNIFTY10SEP22700CE","","CE","09-09-2020","25","45.25","1,131.25","09-09-2020","25","51.30","1,282.50","0","151.25","1,433.75"
"BANKNIFTY","BANKNIFTY10SEP22800CE","","CE","09-09-2020","25","68.00","1,700.00","09-09-2020","25","75.90","1,897.50","0","197.50","2,095.00"
"BANKNIFTY","BANKNIFTY10SEP22800CE","","CE","09-09-2020","25","67.95","1,698.75","09-09-2020","25","86.30","2,157.50","0","458.75","2,616.25"
"BANKNIFTY","BANKNIFTY10SEP23000CE","","CE","09-09-2020","25","39.70","992.50","09-09-2020","25","50.00","1,250.00","0","257.50","1,507.50"
"BANKNIFTY","BANKNIFTY10SEP23200CE","","CE","08-09-2020","25","177.45","4,436.25","08-09-2020","25","189.15","4,728.75","0","292.50","5,021.25"
"BANKNIFTY","BANKNIFTY10SEP23400CE","","CE","08-09-2020","25","113.15","2,828.75","08-09-2020","25","119.60","2,990.00","0","161.25","3,151.25"
"BANKNIFTY","BANKNIFTY10SEP23500CE","","CE","08-09-2020","25","89.00","2,225.00","08-09-2020","25","98.85","2,471.25","0","246.25","2,717.50"
"BANKNIFTY","BANKNIFTY10SEP23800CE","","CE","07-09-2020","25","91.70","2,292.50","07-09-2020","25","70.25","1,756.25","0","-536.25","2,292.50"
"BANKNIFTY","BANKNIFTY10SEP24500CE","","CE","07-09-2020","25","24.55","613.75","04-09-2020","25","44.95","1,123.75","3","510.00","1,633.75"
"BANKNIFTY","BANKNIFTY10SEP24700CE","","CE","04-09-2020","25","33.50","837.50","07-09-2020","25","17.85","446.25","3","-391.25","837.50"
"BANKNIFTY","BANKNIFTY17SEP22500CE","","CE","17-09-2020","25","4.00","100.00","17-09-2020","25","12.20","305.00","0","205.00","510.00"
"BANKNIFTY","BANKNIFTY17SEP22600CE","","CE","17-09-2020","25","6.85","171.25","17-09-2020","25","8.10","202.50","0","31.25","233.75"
"BANKNIFTY","BANKNIFTY17SEP22600CE","","CE","17-09-2020","25","10.25","256.25","17-09-2020","25","15.30","382.50","0","126.25","508.75"
"BANKNIFTY","BANKNIFTY17SEP22600CE","","CE","17-09-2020","25","10.25","256.25","17-09-2020","25","21.70","542.50","0","286.25","828.75"
"BANKNIFTY","BANKNIFTY17SEP22700CE","","CE","16-09-2020","25","117.10","2,927.50","16-09-2020","25","76.95","1,923.75","0","-1,003.75","2,927.50"
"BANKNIFTY","BANKNIFTY17SEP23000CE","","CE","14-09-2020","25","80.00","2,000.00","14-09-2020","25","84.00","2,100.00","0","100.00","2,200.00"
"BANKNIFTY","BANKNIFTY17SEP23000CE","","CE","16-09-2020","25","40.40","1,010.00","15-09-2020","25","72.25","1,806.25","1","796.25","2,602.50"
"BANKNIFTY","BANKNIFTY17SEP23000CE","","CE","16-09-2020","25","40.45","1,011.25","15-09-2020","25","77.10","1,927.50","1","916.25","2,843.75"
"BANKNIFTY","BANKNIFTY17SEP23200CE","","CE","15-09-2020","25","44.30","1,107.50","16-09-2020","25","19.85","496.25","1","-611.25","1,107.50"
"BANKNIFTY","BANKNIFTY17SEP23200CE","","CE","15-09-2020","25","40.70","1,017.50","16-09-2020","25","19.85","496.25","1","-521.25","1,017.50"
"BANKNIFTY","BANKNIFTY17SEP23300CE","","CE","14-09-2020","25","45.95","1,148.75","14-09-2020","25","46.00","1,150.00","0","1.25","1,151.25"
"BANKNIFTY","BANKNIFTY24SEP20900CE","","CE","24-09-2020","25","41.95","1,048.75","24-09-2020","25","27.10","677.50","0","-371.25","1,048.75"
"BANKNIFTY","BANKNIFTY24SEP20900CE","","CE","24-09-2020","25","2.25","56.25","24-09-2020","25","7.05","176.25","0","120.00","296.25"
"BANKNIFTY","BANKNIFTY24SEP20900CE","","CE","24-09-2020","25","41.90","1,047.50","24-09-2020","25","91.60","2,290.00","0","1,242.50","3,532.50"
"BANKNIFTY","BANKNIFTY24SEP21000CE","","CE","24-09-2020","25","3.45","86.25","24-09-2020","25","13.50","337.50","0","251.25","588.75"
"BANKNIFTY","BANKNIFTY24SEP21100CE","","CE","24-09-2020","25","8.00","200.00","24-09-2020","25","16.10","402.50","0","202.50","605.00"
"BANKNIFTY","BANKNIFTY24SEP23200CE","","CE","21-09-2020","25","19.60","490.00","18-09-2020","25","48.75","1,218.75","3","728.75","1,947.50"
"BANKNIFTY","BANKNIFTY01OCT22100CE","","CE","01-10-2020","25","153.80","3,845.00","01-10-2020","25","73.15","1,828.75","0","-2,016.25","3,845.00"
"BANKNIFTY","BANKNIFTY01OCT22100CE","","CE","01-10-2020","25","74.85","1,871.25","01-10-2020","25","29.15","728.75","0","-1,142.50","1,871.25"
"BANKNIFTY","BANKNIFTY01OCT22200CE","","CE","01-10-2020","25","3.55","88.75","29-09-2020","25","35.95","898.75","2","810.00","1,708.75"
"BANKNIFTY","BANKNIFTY01OCT22200CE","","CE","01-10-2020","25","40.00","1,000.00","01-10-2020","25","62.25","1,556.25","0","556.25","2,112.50"
"BANKNIFTY","BANKNIFTY01OCT22200CE","","CE","01-10-2020","25","37.30","932.50","01-10-2020","25","76.35","1,908.75","0","976.25","2,885.00"
"BANKNIFTY","BANKNIFTY01OCT22300CE","","CE","01-10-2020","25","0.40","10.00","01-10-2020","25","2.00","50.00","0","40.00","90.00"
"BANKNIFTY","BANKNIFTY08OCT23400CE","","CE","08-10-2020","25","21.40","535.00","08-10-2020","25","45.40","1,135.00","0","600.00","1,735.00"
"BANKNIFTY","BANKNIFTY08OCT23500CE","","CE","07-10-2020","25","44.35","1,108.75","01-10-2020","25","36.15","903.75","6","-205.00","1,108.75"
"BANKNIFTY","BANKNIFTY08OCT23500CE","","CE","08-10-2020","25","37.40","935.00","07-10-2020","25","32.15","803.75","1","-131.25","935.00"
"BANKNIFTY","BANKNIFTY08OCT23500CE","","CE","08-10-2020","25","19.50","487.50","08-10-2020","25","34.80","870.00","0","382.50","1,252.50"
"BANKNIFTY","BANKNIFTY15OCT24200CE","","CE","15-10-2020","25","23.05","576.25","15-10-2020","25","29.75","743.75","0","167.50","911.25"
"BANKNIFTY","BANKNIFTY15OCT24300CE","","CE","15-10-2020","25","2.50","62.50","15-10-2020","25","6.65","166.25","0","103.75","270.00"
"BANKNIFTY","BANKNIFTY15OCT24400CE","","CE","15-10-2020","25","9.65","241.25","15-10-2020","25","12.50","312.50","0","71.25","383.75"
"BANKNIFTY","BANKNIFTY15OCT24400CE","","CE","15-10-2020","25","10.65","266.25","15-10-2020","25","22.40","560.00","0","293.75","853.75"
"BANKNIFTY","BANKNIFTY15OCT24500CE","","CE","15-10-2020","25","2.95","73.75","13-10-2020","25","43.65","1,091.25","2","1,017.50","2,108.75"
"BANKNIFTY","BANKNIFTY15OCT24500CE","","CE","15-10-2020","25","1.75","43.75","15-10-2020","25","3.05","76.25","0","32.50","108.75"
"BANKNIFTY","BANKNIFTY15OCT24800CE","","CE","13-10-2020","25","23.50","587.50","15-10-2020","25","1.35","33.75","2","-553.75","587.50"
"BANKNIFTY","BANKNIFTY15OCT25000CE","","CE","13-10-2020","25","16.50","412.50","09-10-2020","25","44.45","1,111.25","4","698.75","1,810.00"
"BANKNIFTY","BANKNIFTY22OCT24300CE","","CE","19-10-2020","25","330.75","8,268.75","16-10-2020","25","138.85","3,471.25","3","-4,797.50","8,268.75"
"BANKNIFTY","BANKNIFTY22OCT24600CE","","CE","21-10-2020","25","343.10","8,577.50","19-10-2020","25","175.75","4,393.75","2","-4,183.75","8,577.50"
"BANKNIFTY","BANKNIFTY22OCT24700CE","","CE","21-10-2020","25","269.15","6,728.75","21-10-2020","25","268.00","6,700.00","0","-28.75","6,728.75"
"BANKNIFTY","BANKNIFTY22OCT24700CE","","CE","22-10-2020","25","3.30","82.50","22-10-2020","25","5.55","138.75","0","56.25","195.00"
"BANKNIFTY","BANKNIFTY22OCT24800CE","","CE","21-10-2020","25","128.90","3,222.50","21-10-2020","25","56.45","1,411.25","0","-1,811.25","3,222.50"
"BANKNIFTY","BANKNIFTY22OCT24800CE","","CE","21-10-2020","25","239.00","5,975.00","21-10-2020","25","214.95","5,373.75","0","-601.25","5,975.00"
"BANKNIFTY","BANKNIFTY22OCT24800CE","","CE","21-10-2020","25","146.90","3,672.50","21-10-2020","25","213.55","5,338.75","0","1,666.25","7,005.00"
"BANKNIFTY","BANKNIFTY22OCT24800CE","","CE","22-10-2020","25","5.65","141.25","22-10-2020","25","31.00","775.00","0","633.75","1,408.75"
"BANKNIFTY","BANKNIFTY22OCT24900CE","","CE","16-10-2020","25","49.30","1,232.50","16-10-2020","25","48.05","1,201.25","0","-31.25","1,232.50"
"BANKNIFTY","BANKNIFTY22OCT24900CE","","CE","22-10-2020","25","76.15","1,903.75","21-10-2020","25","92.20","2,305.00","1","401.25","2,706.25"
"BANKNIFTY","BANKNIFTY22OCT24900CE","","CE","22-10-2020","25","16.50","412.50","22-10-2020","25","48.85","1,221.25","0","808.75","2,030.00"
"BANKNIFTY","BANKNIFTY22OCT25000CE","","CE","21-10-2020","25","144.40","3,610.00","21-10-2020","25","127.15","3,178.75","0","-431.25","3,610.00"
"BANKNIFTY","BANKNIFTY22OCT25000CE","","CE","21-10-2020","25","30.20","755.00","21-10-2020","25","26.70","667.50","0","-87.50","755.00"
"BANKNIFTY","BANKNIFTY22OCT25000CE","","CE","22-10-2020","25","10.85","271.25","22-10-2020","25","29.90","747.50","0","476.25","1,223.75"
"BANKNIFTY","BANKNIFTY22OCT25100CE","","CE","22-10-2020","25","1.45","36.25","22-10-2020","25","6.80","170.00","0","133.75","303.75"
"BANKNIFTY","BANKNIFTY22OCT25200CE","","CE","21-10-2020","25","36.00","900.00","22-10-2020","25","4.60","115.00","1","-785.00","900.00"
"BANKNIFTY","BANKNIFTY29OCT24500CE","","CE","29-10-2020","25","15.35","383.75","29-10-2020","25","18.75","468.75","0","85.00","553.75"
"BANKNIFTY","BANKNIFTY29OCT24700CE","","CE","29-10-2020","25","5.85","146.25","29-10-2020","25","7.25","181.25","0","35.00","216.25"
"BANKNIFTY","BANKNIFTY29OCT24700CE","","CE","29-10-2020","25","5.90","147.50","29-10-2020","25","14.20","355.00","0","207.50","562.50"
"BANKNIFTY","BANKNIFTY29OCT24900CE","","CE","29-10-2020","25","5.55","138.75","28-10-2020","25","33.75","843.75","1","705.00","1,548.75"
"BANKNIFTY","BANKNIFTY29OCT24900CE","","CE","29-10-2020","25","6.65","166.25","29-10-2020","25","2.35","58.75","0","-107.50","166.25"
"BANKNIFTY","BANKNIFTY29OCT24900CE","","CE","29-10-2020","25","6.65","166.25","29-10-2020","25","2.40","60.00","0","-106.25","166.25"
"BANKNIFTY","BANKNIFTY29OCT25100CE","","CE","28-10-2020","25","31.00","775.00","26-10-2020","25","73.05","1,826.25","2","1,051.25","2,877.50"
"BANKNIFTY","BANKNIFTY29OCT25200CE","","CE","28-10-2020","25","25.15","628.75","26-10-2020","25","62.45","1,561.25","2","932.50","2,493.75"
"BANKNIFTY","BANKNIFTY29OCT25200CE","","CE","28-10-2020","25","15.90","397.50","29-10-2020","25","2.50","62.50","1","-335.00","397.50"
"BANKNIFTY","BANKNIFTY29OCT25400CE","","CE","26-10-2020","25","43.90","1,097.50","28-10-2020","25","16.50","412.50","2","-685.00","1,097.50"
"BANKNIFTY","BANKNIFTY29OCT25500CE","","CE","26-10-2020","25","39.00","975.00","23-10-2020","25","110.60","2,765.00","3","1,790.00","4,555.00"
"BANKNIFTY","BANKNIFTY29OCT25500CE","","CE","26-10-2020","25","37.55","938.75","28-10-2020","25","13.75","343.75","2","-595.00","938.75"
"BANKNIFTY","BANKNIFTY29OCT25700CE","","CE","23-10-2020","25","81.80","2,045.00","26-10-2020","25","27.65","691.25","3","-1,353.75","2,045.00"
"BANKNIFTY","BANKNIFTY05NOV25700CE","","CE","03-11-2020","25","327.80","8,195.00","29-10-2020","25","80.55","2,013.75","5","-6,181.25","8,195.00"
"BANKNIFTY","BANKNIFTY05NOV26000CE","","CE","29-10-2020","25","51.25","1,281.25","03-11-2020","25","220.85","5,521.25","5","4,240.00","9,761.25"
"BANKNIFTY","BANKNIFTY05NOV26400CE","","CE","05-11-2020","25","24.55","613.75","05-11-2020","25","22.45","561.25","0","-52.50","613.75"
"BANKNIFTY","BANKNIFTY05NOV26400CE","","CE","05-11-2020","25","14.90","372.50","05-11-2020","25","20.50","512.50","0","140.00","652.50"
"BANKNIFTY","BANKNIFTY05NOV26500CE","","CE","05-11-2020","25","31.10","777.50","03-11-2020","25","106.25","2,656.25","2","1,878.75","4,535.00"
"BANKNIFTY","BANKNIFTY05NOV26600CE","","CE","05-11-2020","25","6.90","172.50","05-11-2020","25","6.70","167.50","0","-5.00","172.50"
"BANKNIFTY","BANKNIFTY05NOV26700CE","","CE","03-11-2020","25","78.40","1,960.00","05-11-2020","25","9.30","232.50","2","-1,727.50","1,960.00"
"BANKNIFTY","BANKNIFTY05NOV26800CE","","CE","05-11-2020","25","5.30","132.50","03-11-2020","25","61.00","1,525.00","2","1,392.50","2,917.50"
"BANKNIFTY","BANKNIFTY05NOV27000CE","","CE","03-11-2020","25","32.85","821.25","05-11-2020","25","2.60","65.00","2","-756.25","821.25"
"BANKNIFTY","BANKNIFTY12NOV27600CE","","CE","09-11-2020","25","334.00","8,350.00","10-11-2020","25","736.20","18,405.00","1","10,055.00","28,460.00"
"BANKNIFTY","BANKNIFTY12NOV27700CE","","CE","10-11-2020","25","664.50","16,612.50","05-11-2020","25","54.45","1,361.25","5","-15,251.25","16,612.50"
"BANKNIFTY","BANKNIFTY12NOV27800CE","","CE","10-11-2020","25","594.85","14,871.25","09-11-2020","25","239.05","5,976.25","1","-8,895.00","14,871.25"
"BANKNIFTY","BANKNIFTY12NOV28000CE","","CE","05-11-2020","25","33.35","833.75","10-11-2020","25","467.80","11,695.00","5","10,861.25","22,556.25"
"BANKNIFTY","BANKNIFTY12NOV29100CE","","CE","12-11-2020","25","15.20","380.00","12-11-2020","25","29.50","737.50","0","357.50","1,095.00"
"BANKNIFTY","BANKNIFTY12NOV29200CE","","CE","12-11-2020","25","28.45","711.25","10-11-2020","25","61.70","1,542.50","2","831.25","2,373.75"
"BANKNIFTY","BANKNIFTY12NOV29300CE","","CE","12-11-2020","25","7.60","190.00","12-11-2020","25","15.75","393.75","0","203.75","597.50"
"BANKNIFTY","BANKNIFTY12NOV29400CE","","CE","10-11-2020","25","41.20","1,030.00","12-11-2020","25","14.75","368.75","2","-661.25","1,030.00"
"BANKNIFTY","BANKNIFTY12NOV29500CE","","CE","12-11-2020","25","4.30","107.50","12-11-2020","25","8.15","203.75","0","96.25","300.00"
"BANKNIFTY","BANKNIFTY19NOV30100CE","","CE","19-11-2020","25","4.95","123.75","14-11-2020","25","36.50","912.50","5","788.75","1,701.25"
"BANKNIFTY","BANKNIFTY19NOV30100CE","","CE","19-11-2020","25","4.95","123.75","18-11-2020","25","48.90","1,222.50","1","1,098.75","2,321.25"
"BANKNIFTY","BANKNIFTY19NOV30100CE","","CE","19-11-2020","25","0.90","22.50","19-11-2020","25","7.05","176.25","0","153.75","330.00"
"BANKNIFTY","BANKNIFTY19NOV30200CE","","CE","18-11-2020","25","32.85","821.25","19-11-2020","25","3.05","76.25","1","-745.00","821.25"
"BANKNIFTY","BANKNIFTY19NOV30300CE","","CE","14-11-2020","25","26.40","660.00","19-11-2020","25","2.15","53.75","5","-606.25","660.00"
"BANKNIFTY","BANKNIFTY26NOV29300CE","","CE","26-11-2020","25","70.80","1,770.00","26-11-2020","25","23.35","583.75","0","-1,186.25","1,770.00"
"BANKNIFTY","BANKNIFTY26NOV29500CE","","CE","26-11-2020","25","81.20","2,030.00","26-11-2020","25","20.35","508.75","0","-1,521.25","2,030.00"
"BANKNIFTY","BANKNIFTY26NOV29500CE","","CE","26-11-2020","25","50.50","1,262.50","26-11-2020","25","5.40","135.00","0","-1,127.50","1,262.50"
"BANKNIFTY","BANKNIFTY26NOV29500CE","","CE","26-11-2020","25","50.50","1,262.50","26-11-2020","25","8.50","212.50","0","-1,050.00","1,262.50"
"BANKNIFTY","BANKNIFTY26NOV29500CE","","CE","26-11-2020","25","23.30","582.50","26-11-2020","25","39.65","991.25","0","408.75","1,400.00"
"BANKNIFTY","BANKNIFTY26NOV29500CE","","CE","26-11-2020","25","7.30","182.50","26-11-2020","25","64.20","1,605.00","0","1,422.50","3,027.50"
"BANKNIFTY","BANKNIFTY26NOV29600CE","","CE","26-11-2020","25","41.15","1,028.75","26-11-2020","25","21.00","525.00","0","-503.75","1,028.75"
"BANKNIFTY","BANKNIFTY26NOV29600CE","","CE","26-11-2020","25","6.10","152.50","26-11-2020","25","13.40","335.00","0","182.50","517.50"
"BANKNIFTY","BANKNIFTY26NOV29600CE","","CE","26-11-2020","25","2.45","61.25","26-11-2020","25","32.55","813.75","0","752.50","1,566.25"
"BANKNIFTY","BANKNIFTY26NOV29700CE","","CE","26-11-2020","25","12.95","323.75","26-11-2020","25","0.95","23.75","0","-300.00","323.75"
"BANKNIFTY","BANKNIFTY26NOV29700CE","","CE","26-11-2020","25","12.15","303.75","26-11-2020","25","16.85","421.25","0","117.50","538.75"
"BANKNIFTY","BANKNIFTY26NOV30400CE","","CE","26-11-2020","25","2.55","63.75","25-11-2020","25","34.95","873.75","1","810.00","1,683.75"
"BANKNIFTY","BANKNIFTY26NOV30500CE","","CE","25-11-2020","25","74.45","1,861.25","20-11-2020","25","54.05","1,351.25","5","-510.00","1,861.25"
"BANKNIFTY","BANKNIFTY26NOV30700CE","","CE","25-11-2020","25","20.40","510.00","26-11-2020","25","1.30","32.50","1","-477.50","510.00"
"BANKNIFTY","BANKNIFTY26NOV30800CE","","CE","25-11-2020","25","36.05","901.25","20-11-2020","25","48.75","1,218.75","5","317.50","1,536.25"
"BANKNIFTY","BANKNIFTY26NOV31000CE","","CE","20-11-2020","25","35.60","890.00","25-11-2020","25","22.25","556.25","5","-333.75","890.00"
"BANKNIFTY","BANKNIFTY26NOV31500CE","","CE","20-11-2020","25","14.70","367.50","25-11-2020","25","8.05","201.25","5","-166.25","367.50"
"BANKNIFTY","BANKNIFTY03DEC29700CE","","CE","03-12-2020","25","0.75","18.75","03-12-2020","25","3.50","87.50","0","68.75","156.25"
"BANKNIFTY","BANKNIFTY03DEC29900CE","","CE","03-12-2020","25","4.60","115.00","03-12-2020","25","19.95","498.75","0","383.75","882.50"
"BANKNIFTY","BANKNIFTY03DEC30000CE","","CE","03-12-2020","25","8.65","216.25","03-12-2020","25","22.40","560.00","0","343.75","903.75"
"BANKNIFTY","BANKNIFTY03DEC30100CE","","CE","03-12-2020","25","4.80","120.00","03-12-2020","25","11.60","290.00","0","170.00","460.00"
"BANKNIFTY","BANKNIFTY03DEC30200CE","","CE","03-12-2020","25","11.25","281.25","02-12-2020","25","25.30","632.50","1","351.25","983.75"
"BANKNIFTY","BANKNIFTY03DEC30200CE","","CE","03-12-2020","50","6.20","310.00","03-12-2020","50","2.75","137.50","0","-172.50","310.00"
"BANKNIFTY","BANKNIFTY03DEC30300CE","","CE","03-12-2020","25","3.55","88.75","03-12-2020","25","5.70","142.50","0","53.75","196.25"
"BANKNIFTY","BANKNIFTY03DEC30400CE","","CE","02-12-2020","25","14.55","363.75","03-12-2020","25","3.80","95.00","1","-268.75","363.75"
"BANKNIFTY","BANKNIFTY03DEC30500CE","","CE","03-12-2020","25","2.90","72.50","02-12-2020","25","51.10","1,277.50","1","1,205.00","2,482.50"
"BANKNIFTY","BANKNIFTY03DEC30700CE","","CE","02-12-2020","25","27.10","677.50","03-12-2020","25","1.80","45.00","1","-632.50","677.50"
"BANKNIFTY","BANKNIFTY03DEC30800CE","","CE","03-12-2020","25","1.55","38.75","27-11-2020","25","79.60","1,990.00","6","1,951.25","3,941.25"
"BANKNIFTY","BANKNIFTY03DEC31000CE","","CE","27-11-2020","25","57.75","1,443.75","03-12-2020","25","1.15","28.75","6","-1,415.00","1,443.75"
"BANKNIFTY","BANKNIFTY10DEC30400CE","","CE","10-12-2020","25","148.40","3,710.00","10-12-2020","25","47.65","1,191.25","0","-2,518.75","3,710.00"
"BANKNIFTY","BANKNIFTY10DEC30400CE","","CE","10-12-2020","25","31.35","783.75","10-12-2020","25","29.70","742.50","0","-41.25","783.75"
"BANKNIFTY","BANKNIFTY10DEC30500CE","","CE","10-12-2020","25","67.15","1,678.75","10-12-2020","25","16.35","408.75","0","-1,270.00","1,678.75"
"BANKNIFTY","BANKNIFTY10DEC30500CE","","CE","10-12-2020","25","10.20","255.00","10-12-2020","25","13.80","345.00","0","90.00","435.00"
"BANKNIFTY","BANKNIFTY10DEC30500CE","","CE","10-12-2020","25","8.85","221.25","10-12-2020","25","41.50","1,037.50","0","816.25","1,853.75"
"BANKNIFTY","BANKNIFTY10DEC30600CE","","CE","10-12-2020","25","9.60","240.00","10-12-2020","25","10.60","265.00","0","25.00","290.00"
"BANKNIFTY","BANKNIFTY10DEC30600CE","","CE","10-12-2020","25","9.10","227.50","10-12-2020","25","29.85","746.25","0","518.75","1,265.00"
"BANKNIFTY","BANKNIFTY10DEC30700CE","","CE","10-12-2020","25","5.75","143.75","10-12-2020","25","14.25","356.25","0","212.50","568.75"
"BANKNIFTY","BANKNIFTY10DEC30800CE","","CE","10-12-2020","25","6.90","172.50","10-12-2020","25","29.20","730.00","0","557.50","1,287.50"
"BANKNIFTY","BANKNIFTY10DEC31200CE","","CE","10-12-2020","25","2.95","73.75","04-12-2020","25","40.90","1,022.50","6","948.75","1,971.25"
"BANKNIFTY","BANKNIFTY10DEC31400CE","","CE","04-12-2020","25","29.30","732.50","10-12-2020","25","2.00","50.00","6","-682.50","732.50"
"BANKNIFTY","BANKNIFTY17DEC31000CE","","CE","17-12-2020","25","10.65","266.25","17-12-2020","25","14.00","350.00","0","83.75","433.75"
"BANKNIFTY","BANKNIFTY17DEC31100CE","","CE","17-12-2020","25","12.60","315.00","17-12-2020","25","18.10","452.50","0","137.50","590.00"
"BANKNIFTY","BANKNIFTY17DEC31200CE","","CE","17-12-2020","25","11.05","276.25","15-12-2020","25","62.40","1,560.00","2","1,283.75","2,843.75"
